Protein Name	Organism	UniProtKB Accession
Mitochondrial ubiquitin ligase activator of NFKB 1 (EC 2.3.2.27) (E3 ubiquitin-protein ligase MUL1) (Protein Hades) (RING-type E3 ubiquitin transferase NFKB 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7G8
Small ribosomal subunit protein RACK1 (Guanine nucleotide-binding protein subunit beta-2-like 1) [Cleaved into: Small ribosomal subunit protein RACK1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7Y4
ADP/ATP translocase 4 (ADP,ATP carrier protein 4) (Adenine nucleotide translocator 4) (ANT 4) (Solute carrier family 25 member 31)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8M0
Delta(24)-sterol reductase (EC 1.3.1.72) (24-dehydrocholesterol reductase) (3-beta-hydroxysterol Delta-24-reductase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HC5
Norrin (Norrie disease protein homolog)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HE4
Cystathionine gamma-lyase (CGL) (CSE) (EC 4.4.1.1) (Cysteine desulfhydrase) (Cysteine-protein sulfhydrase) (Gamma-cystathionase) (Homocysteine desulfhydrase) (EC 4.4.1.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HG7
Battenin (Protein CLN3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HH0
Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HI0
Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q6LDD9
Platelet-activating factor acetylhydrolase IB subunit alpha (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXX0
Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXY7
15-hydroxyprostaglandin dehydrogenase [NAD(+)] (15-PGDH) (EC 1.1.1.141) (Eicosanoid/docosanoid dehydrogenase [NAD(+)]) (EC 1.1.1.-, EC 1.1.1.232) (Prostaglandin dehydrogenase 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8MJY8
Cryptochrome-1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8WP19
Very long chain fatty acid elongase 4 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL4) (ELOVL fatty acid elongase 4) (ELOVL FA elongase 4) (Elongation of very long chain fatty acids protein 4) (Very long chain 3-ketoacyl-CoA synthase 4) (Very long chain 3-oxoacyl-CoA synthase 4)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95K73
Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Micromolar-calpain) (muCANP)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9GLG2
Calpain-3 (EC 3.4.22.54) (Calcium-activated neutral proteinase 3) (CANP 3) (Calpain L3) (Calpain p94) (Cn94) (Muscle-specific calcium-activated neutral protease 3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9GLG7
Protein tyrosine phosphatase type IVA 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 4a1) (Protein-tyrosine phosphatase of regenerating liver 1) (PRL-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9TSM6
Chymotrypsin-like elastase family member 1 (EC 3.4.21.36) (Elastase-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	O46644
Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II (ProapoC-II)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P18658
Hyaluronidase PH-20 (Hyal-PH20) (EC 3.2.1.35) (Hyaluronoglucosaminidase PH-20) (Sperm adhesion molecule 1) (Sperm surface protein PH-20)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P38568
Tumor necrosis factor ligand superfamily member 6 (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P63308
Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P79337
E3 ubiquitin-protein ligase RNF146 (EC 2.3.2.27) (Iduna) (RING finger protein 146) (RING-type E3 ubiquitin transferase RNF146)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PFU6
Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4) (GluA4)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q38PU5
Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q38PU7
E3 UFM1-protein ligase 1 (EC 2.3.2.-) (E3 UFM1-protein transferase 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R367
Transcription initiation factor IIB (EC 2.3.1.48) (General transcription factor TFIIB)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R3J5
GTP-binding nuclear protein Ran (EC 3.6.5.-) (GTPase Ran) (Ras-related nuclear protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4M9
Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4N7
Cell division control protein 42 homolog (EC 3.6.5.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4R6
ADP-ribosylation factor-like protein 8B (EC 3.6.5.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4S4
Nuclear distribution protein nudE-like 1 (Protein Nudel)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4S6
Very long chain fatty acid elongase 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Elongation of very long chain fatty acids protein 5) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R516
Tubulin alpha-1B chain (EC 3.6.5.-) (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R538
Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Vacuolar protein sorting-associated protein 24)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R574
Ras-related protein Rab-8A (EC 3.6.5.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5P1
E3 ubiquitin-protein ligase Hakai (EC 2.3.2.27) (Casitas B-lineage lymphoma-transforming sequence-like protein 1) (c-Cbl-like protein 1) (RING-type E3 ubiquitin transferase Hakai)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7I8
Organic anion transporter 3 (mKOAT3) (Organic anion/dicarboxylate exchanger) (Solute carrier family 22 member 8)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4W8A2
Tripartite motif-containing protein 5 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM5) (TRIM5alpha)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q587N6
Tubulin beta-3 chain (Tubulin beta-4 chain)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HC2
Torsin-1A (Dystonia 1 protein) (Torsin ATPase 1) (EC 3.6.4.-) (Torsin family 1 member A)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HG2
Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HG9
Aldehyde dehydrogenase family 3 member A2 (EC 1.2.1.3) (EC 1.2.1.94) (Fatty aldehyde dehydrogenase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HH8
Forkhead box protein P3 [Cleaved into: Forkhead box protein P3, C-terminally processed; Forkhead box protein P3 41 kDa form]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q6U8D7
Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q7JII8
Carotenoid-cleaving dioxygenase, mitochondrial (EC 1.13.11.-) (EC 1.13.11.71) (Beta-carotene dioxygenase 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXG8
Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXQ1
Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196, EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1) (EC 1.1.1.71) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8MI29
Serine/threonine-protein kinase Nek11 (EC 2.7.11.1) (Never in mitosis A-related kinase 11) (NimA-related protein kinase 11)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8WNU8
Growth/differentiation factor 8 (GDF-8) (Myostatin)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95J86
Polyamine-transporting ATPase 13A3 (ATPase family homolog up-regulated in senescence cells 1) (Putrescine transporting ATPase) (EC 7.6.2.16)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95JN5
Mu-type opioid receptor (M-OR-1) (MOR-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95M54
Glycoprotein hormones alpha chain (Anterior pituitary glycoprotein hormones common subunit alpha) (Choriogonadotropin alpha chain) (Chorionic gonadotrophin subunit alpha) (CG-alpha) (Follicle-stimulating hormone alpha chain) (FSH-alpha) (Follitropin alpha chain) (Luteinizing hormone alpha chain) (LSH-alpha) (Lutropin alpha chain) (Thyroid-stimulating hormone alpha chain) (TSH-alpha) (Thyrotropin alpha chain)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9BEH3
Aprataxin (EC 3.6.1.71) (EC 3.6.1.72) (Forkhead-associated domain histidine triad-like protein) (FHA-HIT)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9BGQ0
Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9GJT6
Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9GLG1
Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9TSN4
Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P33616
Ras-related protein Rab-5A (EC 3.6.5.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P61271
Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P68223
Small ribosomal subunit protein eS6 (40S ribosomal protein S6)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4K6
Gap junction alpha-1 protein (Connexin-43) (Cx43)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4S7
Calcium uptake protein 1, mitochondrial (Calcium-binding atopy-related autoantigen 1 homolog)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R518
Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R549
Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (Histone-arginine N-methyltransferase PRMT5) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5M3
Neuronal vesicle trafficking-associated protein 1 (Neuron-enriched endosomal protein of 21 kDa) (Neuron-specific protein family member 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5Q3
Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R633
Proton-coupled zinc antiporter SLC30A1 (Solute carrier family 30 member 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6K2
Calreticulin	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6K8
High mobility group protein B1 (High mobility group protein 1) (HMG-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R844
Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5 homolog) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8P0
Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) [Cleaved into: A20p50; A20p37]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8W3
Neutral amino acid transporter B(0) (ATB(0)) (Solute carrier family 1 member 5)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8W8
NT-3 growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q5IFJ9
Mucolipin-1 (Mucolipidin) (Transient receptor potential channel mucolipin 1) (TRPML1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HE8
Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HF9
Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HH1
Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp) (Malate dehydrogenase [quinone] flavoprotein subunit) (EC 1.1.5.-)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXW3
Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HYE4
Aldo-keto reductase family 1 member C4 (EC 1.1.1.-) (EC 1.1.1.209) (EC 1.1.1.210) (EC 1.1.1.51) (EC 1.1.1.53) (EC 1.1.1.62) (3-alpha-hydroxysteroid dehydrogenase type I) (3-alpha-HSD1) (EC 1.1.1.357) (3alpha-hydroxysteroid 3-dehydrogenase) (Chlordecone reductase homolog) (CDR) (EC 1.1.1.225) (Dihydrodiol dehydrogenase 4) (DD-4) (DD4)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95JH5
Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p56-HCK)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95M30
NAD-dependent protein deacylase sirtuin-6 (EC 2.3.1.-) (NAD-dependent protein deacetylase sirtuin-6) (EC 2.3.1.286) (Protein mono-ADP-ribosyltransferase sirtuin-6) (EC 2.4.2.-)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	A0A2K5TU92
D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	A2V9Y8
Free fatty acid receptor 4 (G-protein coupled receptor 120) (Omega-3 fatty acid receptor 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	C8YUV0
Liver carboxylesterase 1 (EC 3.1.1.1) (Cholesteryl ester hydrolase) (CEH) (EC 3.1.1.13)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	O46421
Sterol O-acyltransferase 1 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 1) (ACAT-1) (Cholesterol acyltransferase 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	O77761
Cytochrome P450 2E1 (EC 1.14.14.1) (4-nitrophenol 2-hydroxylase) (EC 1.14.13.n7) (CYPIIE1) (Cytochrome P450-MKJ1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P33266
Non-secretory ribonuclease (EC 4.6.1.18) (Eosinophil-derived neurotoxin) (RNase UpI-2) (Ribonuclease 2) (RNase 2) (Ribonuclease US)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P47783
Cholesteryl ester transfer protein (Lipid transfer protein I)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P47896
Amyloid-beta precursor protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)); C31]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P53601
Cellular tumor antigen p53 (Tumor suppressor p53)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P56423
Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P68292
Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Glutathione-dependent peroxiredoxin) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PFL9
Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q38PU3
Glutamate receptor 1 (GluR-1) (AMPA-selective glutamate receptor 1) (GluR-A) (GluR-K1) (Glutamate receptor ionotropic, AMPA 1) (GluA1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q38PU8
Long-chain fatty acid transport protein 4 (FATP-4) (Fatty acid transport protein 4) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Solute carrier family 27 member 4) (Very long-chain acyl-CoA synthetase 4) (ACSVL4) (EC 6.2.1.-)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R3Y4
TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4F5
TSC22 domain family protein 1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4H5
Fatty acid 2-hydroxylase (EC 1.14.18.-) (Fatty acid alpha-hydroxylase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4P4
Heat shock protein HSP 90-beta	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4T5
Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4U2
Vimentin	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4X4
Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R559
DNA-binding protein inhibitor ID-2 (Inhibitor of DNA binding 2) (Inhibitor of differentiation 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5J7
